order_id,customer_id,sku_id,category,quantity,unit_price_paid,order_timestamp,discount_pct_applied,device_id,payment_fingerprint,shipping_address_id,ip_address
ORD-3de112eb2d,CUST-dc5962636e,ADI-SAMBA-BLK-42,sneakers,5,90.0,2026-01-01 15:46:03.466477,0.0,DEV-6dc79bed73,PAY-4b89accd82,ADDR-9803a2e845,133.98.184.117
ORD-7327b593ed,CUST-473201e88d,ADI-SAMBA-WHT-42,sneakers,1,90.0,2026-01-01 16:35:37.333875,0.0,DEV-5eaf1a7ff7,PAY-9352f22138,ADDR-95ff1cf5f8,108.85.211.127
ORD-e0f6fb298e,CUST-6dfa84d93c,ADI-GAZL-BLU-42,sneakers,5,100.0,2026-01-01 21:20:00.063574,0.0,DEV-1ef9f859da,PAY-bec4e63586,ADDR-9b5c86cdc1,206.103.103.136
ORD-e6876c758b,CUST-5c89d12f87,ADI-TRACK-BLK-M,apparel,2,70.0,2026-01-01 21:50:44.379231,0.0,DEV-e2411c39fc,PAY-fca69506ec,ADDR-b67e9acc44,3.88.211.143
ORD-405c04d5e9,CUST-ecfd19ebfa,ADI-TRACK-NVY-M,apparel,3,60.0,2026-01-01 22:00:16.312313,0.0,DEV-eee8ab1760,PAY-f8b7f6af11,ADDR-fa51497ca8,14.250.156.2
ORD-244ecfb1e6,CUST-8c22ac7910,ADI-GAZL-BLU-42,sneakers,3,100.0,2026-01-02 01:39:02.486147,0.0,DEV-59cd4dedd4,PAY-f0eee3debb,ADDR-84ebe953fa,154.167.196.61
ORD-ffd6395a11,CUST-5403e1c9c5,ADI-TRACK-NVY-M,apparel,1,60.0,2026-01-02 02:59:13.266905,0.0,DEV-e106e24636,PAY-a9d14d5348,ADDR-84bb85d4f3,50.227.4.57
ORD-21ef8b3716,CUST-80e644767e,ADI-TRACK-NVY-M,apparel,4,60.0,2026-01-02 03:54:27.035696,0.0,DEV-4f32ae5f4c,PAY-d2218134f4,ADDR-407b99c6cb,202.174.104.41
ORD-7b79cb915f,CUST-3925d4f95d,ADI-SAMBA-BLK-42,sneakers,1,90.0,2026-01-02 07:20:39.002298,0.0,DEV-a9a6c94380,PAY-1f5693a2b8,ADDR-645b099f84,96.52.63.73
ORD-5a3d0e9971,CUST-ab945612fc,ADI-GAZL-BLU-42,sneakers,1,100.0,2026-01-02 08:08:06.715226,0.0,DEV-8b038b2021,PAY-8e04b19af4,ADDR-e0fc61fcac,124.188.57.149
ORD-c854901be5,CUST-bd16971ea0,ADI-SUPER-BLK-42,sneakers,6,85.0,2026-01-02 08:50:31.405344,0.0,DEV-0d843ddf18,PAY-5fe227bc11,ADDR-8fcd89cfd3,17.104.211.69
ORD-01d0d8c39d,CUST-8b24cf850a,ADI-CAP-BLK,accessory,5,25.0,2026-01-02 08:55:49.701521,0.0,DEV-1a732887c1,PAY-ec7ae276cb,ADDR-ea22d1577a,148.64.225.67
ORD-5b3201255f,CUST-f012842f1c,ADI-SUPER-BLK-42,sneakers,3,85.0,2026-01-02 13:15:02.495890,0.0,DEV-c6ec41d1df,PAY-7622454794,ADDR-a8dd891ccd,28.93.180.187
ORD-8a2cec3036,CUST-35d3765cbb,ADI-TRACK-NVY-M,apparel,3,60.0,2026-01-02 15:33:15.638864,0.0,DEV-12ebae5c44,PAY-501bfb472c,ADDR-9effa58ce8,132.53.25.238
ORD-faca64fb10,CUST-f528cda1bd,ADI-SAMBA-BLK-42,sneakers,2,90.0,2026-01-02 18:34:42.039680,0.0,DEV-afe08cb8ad,PAY-639e375325,ADDR-f157654689,69.64.224.187
ORD-d5b28b5172,CUST-61c1910a2b,ADI-TEE-WHT-M,apparel,2,30.0,2026-01-02 21:39:20.574994,0.0,DEV-260bf2dbf8,PAY-968aa22c9b,ADDR-c52c3813b8,12.20.165.27
ORD-377378876a,CUST-0b54bb6b6a,ADI-SAMBA-BLK-42,sneakers,1,90.0,2026-01-02 21:41:12.907720,0.0,DEV-40febe2ec7,PAY-9a626748ec,ADDR-a0a40f56c9,65.154.140.49
ORD-e809375f29,CUST-b0d78c22db,ADI-SAMBA-BLK-42,sneakers,3,90.0,2026-01-02 22:06:10.053910,0.0,DEV-0e914e8f38,PAY-2a876a2496,ADDR-fe143e3053,140.165.161.212
ORD-29ff067103,CUST-52a720abeb,ADI-TRACK-NVY-M,apparel,1,60.0,2026-01-02 22:31:20.058542,0.0,DEV-1acb68d2e7,PAY-27712cebee,ADDR-00ed654a85,9.56.97.5
ORD-49979d21a2,CUST-ba4500b074,ADI-GAZL-BLU-42,sneakers,1,100.0,2026-01-02 23:45:45.784607,0.0,DEV-1e32360b5c,PAY-d429190131,ADDR-91dfb7097f,185.60.94.82
ORD-3ccd0fa64a,CUST-0913189071,ADI-SAMBA-WHT-42,sneakers,4,90.0,2026-01-03 00:24:05.896864,0.0,DEV-d6249f1a44,PAY-1b3d2032c2,ADDR-1064c1d9b8,77.2.232.87
ORD-629098c211,CUST-8bf7b5ca37,ADI-CAP-BLK,accessory,5,25.0,2026-01-03 02:10:40.331825,0.0,DEV-6fe0701a4d,PAY-861fa408a2,ADDR-fe4da2c1e7,49.44.154.198
ORD-3e40975250,CUST-f3da7cc13b,ADI-TRACK-BLK-M,apparel,3,70.0,2026-01-03 03:02:31.581998,0.0,DEV-babdd8b07e,PAY-ed2adc58e7,ADDR-1186b3b894,165.77.29.251
ORD-2e102d0f60,CUST-58d8ccbb97,ADI-TRACK-BLK-M,apparel,2,70.0,2026-01-03 04:20:08.329351,0.0,DEV-a3214ba531,PAY-92a8aa7d7e,ADDR-d87074c527,7.91.232.152
ORD-ceb60b059b,CUST-10f69df666,ADI-SAMBA-BLK-42,sneakers,3,90.0,2026-01-03 05:42:03.907007,0.0,DEV-cab5dd9091,PAY-ae5fe68a44,ADDR-06d090b827,161.39.107.176
ORD-18db5e0b64,CUST-1a5a6bab4f,ADI-SAMBA-WHT-42,sneakers,2,90.0,2026-01-03 07:50:26.860988,0.0,DEV-bba6abcf40,PAY-28423f561c,ADDR-531a52ac83,151.122.124.13
ORD-2be1cdbdab,CUST-e7de47d34d,ADI-SUPER-BLK-42,sneakers,1,85.0,2026-01-03 12:14:24.753154,0.0,DEV-86b76d5ac5,PAY-19829f2c6d,ADDR-5ca37ffcc1,40.225.183.46
ORD-c917b5c1a0,CUST-8c42eebb7a,ADI-SUPER-BLK-42,sneakers,1,85.0,2026-01-03 13:23:34.981973,0.0,DEV-237e9ed908,PAY-5963c41a59,ADDR-57a2c90dc9,71.218.165.66
ORD-00d4afd037,CUST-5d48f82fa0,ADI-TRACK-NVY-M,apparel,6,60.0,2026-01-03 16:04:29.631901,0.0,DEV-04e621b322,PAY-160b2192c9,ADDR-e9d3c4c002,161.174.194.25
ORD-38dbd66c68,CUST-0ede62111c,ADI-SAMBA-WHT-42,sneakers,5,90.0,2026-01-03 16:30:39.548929,0.0,DEV-9a519a05cc,PAY-9ad311b262,ADDR-329f1e757b,29.69.253.196
ORD-57ae3b0114,CUST-4c510256d3,ADI-TRACK-NVY-M,apparel,3,60.0,2026-01-03 19:31:55.246869,0.0,DEV-bc8e5fa438,PAY-c72724150e,ADDR-ac65616ab5,176.153.222.106
ORD-a10839666d,CUST-8c34543ea0,ADI-GAZL-BLU-42,sneakers,3,100.0,2026-01-03 21:44:53.282600,0.0,DEV-d9bf3a286a,PAY-dc9544b019,ADDR-fc362c37b4,122.231.36.84
ORD-ebd525da95,CUST-19f0b0828a,ADI-SAMBA-BLK-42,sneakers,4,90.0,2026-01-03 22:19:06.868380,0.0,DEV-fa90c872ae,PAY-dc3da1be78,ADDR-4b404ac353,91.63.24.194
ORD-5a60802ead,CUST-02c1129ff4,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-03 22:36:12.613108,0.0,DEV-178b5e284c,PAY-22c690c54c,ADDR-a1e5ccee0a,3.34.6.106
ORD-9aefc6b6fa,CUST-1cf05ccb1e,ADI-GAZL-BLU-42,sneakers,1,100.0,2026-01-03 22:45:11.345588,0.0,DEV-ce5d9ae31f,PAY-ae0e225167,ADDR-41b022e082,167.197.118.251
ORD-f2f24af3de,CUST-8c22ac7910,ADI-GAZL-BLU-42,sneakers,3,100.0,2026-01-03 23:02:15.212100,0.0,DEV-59cd4dedd4,PAY-f0eee3debb,ADDR-84ebe953fa,154.167.196.61
ORD-b3148ceaa4,CUST-9a7a6c9b86,ADI-SAMBA-BLK-42,sneakers,4,90.0,2026-01-04 00:04:09.015905,0.0,DEV-d9f185cc64,PAY-d6c16ce35c,ADDR-f3e919b302,133.253.164.39
ORD-75703ae3e0,CUST-788d16821c,ADI-TRACK-BLK-M,apparel,3,70.0,2026-01-04 00:39:12.046613,0.0,DEV-a0b79028b6,PAY-0083858d53,ADDR-95455d20ea,44.33.186.250
ORD-898edf6d3f,CUST-b2c494ef0c,ADI-TEE-WHT-M,apparel,2,30.0,2026-01-04 03:40:55.380232,0.0,DEV-25caa0ba33,PAY-038ac41df7,ADDR-05e24b791b,20.76.18.214
ORD-72412133c2,CUST-f012842f1c,ADI-SUPER-BLK-42,sneakers,3,85.0,2026-01-04 05:42:52.115582,0.0,DEV-c6ec41d1df,PAY-7622454794,ADDR-a8dd891ccd,131.136.203.124
ORD-b44947ed05,CUST-c3b0f9610c,ADI-SUPER-BLK-42,sneakers,1,85.0,2026-01-04 06:04:30.103783,0.0,DEV-47745cb220,PAY-154a32ca9f,ADDR-755bbd626c,132.171.47.210
ORD-b4ee6826c3,CUST-de04bb722f,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-04 09:31:31.903341,0.0,DEV-bdaaaf52d1,PAY-1d89471a48,ADDR-92561030ec,203.21.230.233
ORD-7c0e856b99,CUST-3e2dd806f3,ADI-SUPER-BLK-42,sneakers,6,85.0,2026-01-04 09:59:46.293982,0.0,DEV-0dbd921f31,PAY-d590983409,ADDR-ec50f7e9cd,103.130.91.62
ORD-1e0a698572,CUST-e02175658e,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-04 11:11:05.133662,0.0,DEV-d7781edceb,PAY-0d0f0046ed,ADDR-de2f54764b,168.160.6.181
ORD-58deff23dc,CUST-02a7572047,ADI-TRACK-BLK-M,apparel,1,70.0,2026-01-04 12:09:07.105839,0.0,DEV-b8bfd27994,PAY-ed0f0e92df,ADDR-ce14f2cdc4,33.215.58.191
ORD-0c7bd900a1,CUST-17b1ec2a6e,ADI-SAMBA-BLK-42,sneakers,8,90.0,2026-01-04 12:52:43.474661,0.0,DEV-73e9191dd1,PAY-6bd33e8707,ADDR-71f93ff637,166.78.61.77
ORD-fd4519bd8f,CUST-e4f4138f2a,ADI-SUPER-BLK-42,sneakers,4,85.0,2026-01-04 13:25:06.899126,0.0,DEV-318b6040a4,PAY-1477da81bd,ADDR-d6c5cee8ce,156.16.60.250
ORD-9003f66d7b,CUST-f807376045,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-04 16:43:20.836059,0.0,DEV-5197bd33dc,PAY-41f58aee44,ADDR-795ff7cae4,202.173.26.42
ORD-37227a0859,CUST-721ef68a75,ADI-TRACK-BLK-M,apparel,8,70.0,2026-01-04 17:27:52.197905,0.0,DEV-f7cd1bac1b,PAY-4175a3ae82,ADDR-ce1acee57a,212.154.155.127
ORD-149210fa16,CUST-8b2fb62f8a,ADI-SUPER-BLK-42,sneakers,1,85.0,2026-01-04 21:39:37.806306,0.0,DEV-609b438d85,PAY-8bc08ea811,ADDR-fc7a359455,211.208.248.195
ORD-36a60aa17c,CUST-5fe0df4f47,ADI-GAZL-BLU-42,sneakers,1,100.0,2026-01-04 23:32:15.319457,0.0,DEV-2dee08ba26,PAY-c9deb74be9,ADDR-4b496bcd95,128.238.50.206
ORD-74b617e558,CUST-ecfd19ebfa,ADI-TRACK-NVY-M,apparel,3,60.0,2026-01-05 01:26:20.783744,0.0,DEV-eee8ab1760,PAY-f8b7f6af11,ADDR-fa51497ca8,14.250.156.2
ORD-a214d64670,CUST-3464e881f2,ADI-TRACK-BLK-M,apparel,5,70.0,2026-01-05 02:12:55.803537,0.0,DEV-b46c98614d,PAY-7f0a200c62,ADDR-d84eb41ca6,104.248.142.38
ORD-5658462cf2,CUST-8e31b77296,ADI-SAMBA-WHT-42,sneakers,3,90.0,2026-01-05 02:40:16.703073,0.0,DEV-6c0ffac12d,PAY-ec8b651705,ADDR-b6f007fb76,56.144.96.108
ORD-4f6a515c48,CUST-1e07176000,ADI-GAZL-BLU-42,sneakers,1,100.0,2026-01-05 03:09:41.630588,0.0,DEV-5fbff8fe8c,PAY-ddb0ed4966,ADDR-71fe9ceec3,140.240.92.50
ORD-8dc3806888,CUST-169ba21a97,ADI-SAMBA-WHT-42,sneakers,1,90.0,2026-01-05 03:23:31.995036,0.0,DEV-cbf5d651de,PAY-3e3184817d,ADDR-cb5488bc01,41.223.249.167
ORD-8822101ed6,CUST-81f3c25fea,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-05 03:28:29.521640,0.0,DEV-0dcada587b,PAY-9a48e61269,ADDR-06bf265444,177.193.183.186
ORD-e1e97e4457,CUST-256f9a1d69,ADI-TRACK-NVY-M,apparel,1,60.0,2026-01-05 04:02:58.651275,0.0,DEV-9842f6af1f,PAY-738ad83680,ADDR-557530ac78,111.252.134.23
ORD-5626b0848c,CUST-5148c9c21d,ADI-SUPER-BLK-42,sneakers,1,85.0,2026-01-05 05:32:39.298487,0.0,DEV-cca3876d83,PAY-c0d1e7d600,ADDR-92a5ae3996,57.249.118.17
ORD-644b8bd13b,CUST-d68cdcf0ee,ADI-TRACK-NVY-M,apparel,1,60.0,2026-01-05 06:17:35.777935,0.0,DEV-bc67d90fbd,PAY-cca9025e3d,ADDR-c6f946c75d,158.22.154.118
ORD-e0fbf54ee1,CUST-3028ecc7bf,ADI-CAP-BLK,accessory,1,25.0,2026-01-05 06:58:08.078229,0.0,DEV-a2b4f6ed24,PAY-15f9025c6c,ADDR-8c6a377f90,37.143.47.12
ORD-84cf0cbc45,CUST-7613e3ee68,ADI-TRACK-NVY-M,apparel,1,60.0,2026-01-05 08:17:02.903991,0.0,DEV-c52445dd58,PAY-124b75858b,ADDR-f8e9bfccc7,34.94.13.196
ORD-1c7204fda9,CUST-89ff801039,ADI-GAZL-BLU-42,sneakers,1,100.0,2026-01-05 08:18:14.070156,0.0,DEV-00fcaddfb5,PAY-a0cf623447,ADDR-a5fb6bde59,164.207.218.132
ORD-94ae8f58c4,CUST-aa15256f8f,ADI-TRACK-BLK-M,apparel,1,70.0,2026-01-05 09:27:49.038349,0.0,DEV-956a0182e3,PAY-a170e51305,ADDR-783885591b,24.178.113.227
ORD-e2bc160264,CUST-a55f980e3a,ADI-SAMBA-BLK-42,sneakers,3,90.0,2026-01-05 11:01:12.803483,0.0,DEV-e2fe511c5c,PAY-66f8a363cf,ADDR-0d1d23ea90,41.251.51.204
ORD-031251eb4d,CUST-e60e55e483,ADI-SUPER-BLK-42,sneakers,5,85.0,2026-01-05 11:05:36.344164,0.0,DEV-df9be7ecfe,PAY-2789df92a5,ADDR-86518fd242,123.232.137.153
ORD-8b4ffedb1c,CUST-35d76a698c,ADI-CAP-BLK,accessory,1,25.0,2026-01-05 13:20:16.042011,0.0,DEV-16c71ce930,PAY-72be5f7242,ADDR-19bcd3f54b,25.0.109.123
ORD-b638fd940d,CUST-77fdd7c3e7,ADI-TEE-WHT-M,apparel,3,30.0,2026-01-05 14:40:58.354736,0.0,DEV-cb112e5d57,PAY-2b0f06ca15,ADDR-230e373844,38.123.223.216
ORD-447ee4b6e4,CUST-c338dc35d4,ADI-GAZL-BLU-42,sneakers,5,100.0,2026-01-05 14:47:19.557278,0.0,DEV-f6c4ddb90f,PAY-4ef6684441,ADDR-f40c7aaed1,126.77.225.14
ORD-e3bb929b22,CUST-ecfd19ebfa,ADI-TRACK-NVY-M,apparel,3,60.0,2026-01-05 15:50:46.410911,0.0,DEV-eee8ab1760,PAY-f8b7f6af11,ADDR-fa51497ca8,14.250.156.2
ORD-7bf9ad8ad1,CUST-ec2331d003,ADI-GAZL-BLU-42,sneakers,5,100.0,2026-01-05 17:15:40.660638,0.0,DEV-cf5acb9bfb,PAY-741fb36540,ADDR-c7174910a3,163.38.109.74
ORD-6c22f564ac,CUST-d3eadfce92,ADI-GAZL-BLU-42,sneakers,5,100.0,2026-01-05 17:38:45.704329,0.0,DEV-72346fada5,PAY-a327986d3b,ADDR-5edb5045bc,216.127.218.76
ORD-9c8c150056,CUST-08d7c9bff1,ADI-TRACK-BLK-M,apparel,1,70.0,2026-01-05 17:52:18.111382,0.0,DEV-4579e1eeaf,PAY-9297574bce,ADDR-11bfae4049,186.57.16.208
ORD-9c015357fc,CUST-f221a1463f,ADI-GAZL-BLU-42,sneakers,3,100.0,2026-01-05 20:12:19.050080,0.0,DEV-bca7e3f4e1,PAY-a4a22b6170,ADDR-f3fe0a10e1,74.24.75.91
ORD-26e14aa770,CUST-8c34543ea0,ADI-SUPER-BLK-42,sneakers,3,85.0,2026-01-05 20:12:56.462401,0.0,DEV-d9bf3a286a,PAY-dc9544b019,ADDR-fc362c37b4,43.108.125.199
ORD-d0a64d5f0c,CUST-82a7b7af84,ADI-TRACK-BLK-M,apparel,5,70.0,2026-01-06 02:03:41.167093,0.0,DEV-c067b72256,PAY-28debb02c9,ADDR-f284ee1c21,148.161.32.69
ORD-7b87e92cd6,CUST-2bce43c2f2,ADI-TRACK-NVY-M,apparel,1,60.0,2026-01-06 03:06:23.639995,0.0,DEV-579ed76979,PAY-07b1524538,ADDR-8d84a51a1e,140.173.89.213
ORD-003ee24f23,CUST-181cc221b9,ADI-SAMBA-BLK-42,sneakers,1,90.0,2026-01-06 04:30:27.843450,0.0,DEV-dc33c5619c,PAY-c100baf52a,ADDR-bf968001fc,161.127.115.178
ORD-a6be7744fa,CUST-4912cf7b73,ADI-CAP-BLK,accessory,1,25.0,2026-01-06 07:43:08.162653,0.0,DEV-18ef88d008,PAY-4a86a002a9,ADDR-30effd1c08,82.41.70.39
ORD-7d3adef302,CUST-5e384b7e74,ADI-TRACK-NVY-M,apparel,2,60.0,2026-01-06 08:41:20.201275,0.0,DEV-0fa3a80406,PAY-d18148d676,ADDR-a8a92f2e96,4.88.25.232
ORD-0f2a474686,CUST-ae9c985af8,ADI-TRACK-NVY-M,apparel,6,60.0,2026-01-06 09:25:39.762614,0.0,DEV-542aba5d10,PAY-cf7b352c72,ADDR-d7e6b1ef80,57.228.182.24
ORD-ba9a940bf4,CUST-02c8af9d45,ADI-SUPER-BLK-42,sneakers,5,85.0,2026-01-06 09:57:39.562030,0.0,DEV-be20cf474f,PAY-af60517fd3,ADDR-8e31632e0a,152.132.123.214
ORD-fd9ed38eab,CUST-8f2529772a,ADI-CAP-BLK,accessory,1,25.0,2026-01-06 11:04:33.606761,0.0,DEV-26d3e0e83a,PAY-c95eee6c90,ADDR-544e54cc15,98.43.151.205
ORD-bf7a5c63b7,CUST-98ecccf23f,ADI-TRACK-BLK-M,apparel,3,70.0,2026-01-06 14:28:22.227235,0.0,DEV-083fc1000a,PAY-18f1a100cd,ADDR-5c95887d2c,165.184.192.184
ORD-e4ea16fa3d,CUST-92bb90fec2,ADI-GAZL-BLU-42,sneakers,8,100.0,2026-01-06 16:02:26.484587,0.0,DEV-c915044885,PAY-e3c746501a,ADDR-54e0b02b46,159.82.146.47
ORD-b17af7fd89,CUST-099cc0bcbe,ADI-TRACK-NVY-M,apparel,1,60.0,2026-01-06 18:11:58.134331,0.0,DEV-fe4a364064,PAY-d413ebe375,ADDR-458f9bedbf,211.177.206.243
ORD-0c2310d945,CUST-6731959093,ADI-GAZL-BLU-42,sneakers,5,100.0,2026-01-06 19:53:40.133723,0.0,DEV-41a59362fb,PAY-95a9fb621d,ADDR-f76787fa53,125.234.252.29
ORD-c78f694a31,CUST-1dad928c95,ADI-SUPER-BLK-42,sneakers,3,85.0,2026-01-06 23:25:28.580354,0.0,DEV-3442b28cc6,PAY-0ae6f144fe,ADDR-f7a9724b1a,43.222.31.101
ORD-9cc00eee31,CUST-08f062e525,ADI-CAP-BLK,accessory,1,25.0,2026-01-07 04:21:29.113931,0.0,DEV-f645fb459f,PAY-b067b8c7c7,ADDR-203f915918,147.75.28.43
ORD-8527dc55a0,CUST-d4fd01e713,ADI-CAP-BLK,accessory,1,25.0,2026-01-07 06:27:04.225820,0.0,DEV-7729459c27,PAY-860f2b3c5c,ADDR-0f51092887,64.38.226.207
ORD-0b2f4a95a1,CUST-8b24cf850a,ADI-CAP-BLK,accessory,6,25.0,2026-01-07 07:45:34.083331,0.0,DEV-1a732887c1,PAY-ec7ae276cb,ADDR-ea22d1577a,148.64.225.67
ORD-efeb18be4f,CUST-97511f39ea,ADI-SAMBA-WHT-42,sneakers,2,90.0,2026-01-07 09:27:13.060002,0.0,DEV-d8418cb869,PAY-7e2fe6c693,ADDR-27f8b185e3,161.221.33.27
ORD-59efadce39,CUST-3a75102b34,ADI-TEE-WHT-M,apparel,3,30.0,2026-01-07 11:08:16.664118,0.0,DEV-74fd8795cb,PAY-1308802bfa,ADDR-b39fc04140,209.219.161.211
ORD-840fb77e08,CUST-c1db9e5f40,ADI-SUPER-BLK-42,sneakers,5,85.0,2026-01-07 13:22:26.727602,0.0,DEV-2bf33e1f1c,PAY-490f7af532,ADDR-03ab7a2b96,186.64.145.55
ORD-43bf4f64a5,CUST-f737fb7417,ADI-TRACK-NVY-M,apparel,1,60.0,2026-01-07 16:27:10.285782,0.0,DEV-17959f702d,PAY-39b1e0ea40,ADDR-12e05bdaa3,180.49.22.18
ORD-fc18a713b1,CUST-5198fcbd43,ADI-TRACK-NVY-M,apparel,3,60.0,2026-01-07 18:10:37.349604,0.0,DEV-e9b1a3d54d,PAY-f979a94863,ADDR-ae5a4014da,176.243.61.96
ORD-6348b4fcb6,CUST-b27d0fa388,ADI-GAZL-BLU-42,sneakers,3,100.0,2026-01-07 18:40:43.390493,0.0,DEV-252473fb07,PAY-3cdd87ad6b,ADDR-0175f853e9,39.45.188.44
ORD-d44f3d383f,CUST-afec00f9d7,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-07 22:06:00.162792,0.0,DEV-8411ccc530,PAY-d29a49488a,ADDR-0df48a95cb,153.155.133.16
ORD-c0f111943d,CUST-e7de9660fb,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-07 23:03:40.337654,0.0,DEV-e9dd4ae587,PAY-a70d103dd4,ADDR-da8854b762,54.82.210.6
ORD-f92a0c928c,CUST-e6ef6f85ce,ADI-SAMBA-BLK-42,sneakers,4,90.0,2026-01-07 23:18:55.055043,0.0,DEV-495e18740b,PAY-6026bf7549,ADDR-4c3a3ffe35,197.92.213.236
ORD-53202d7a99,CUST-7b5fb08d5c,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-08 00:07:29.515589,0.0,DEV-522dbf81bf,PAY-9b407ab431,ADDR-1df96aa340,33.159.223.132
ORD-5426b4cc1e,CUST-69bd8a3621,ADI-GAZL-BLU-42,sneakers,1,100.0,2026-01-08 04:00:26.106424,0.0,DEV-afbb73f6c5,PAY-ee62225317,ADDR-819668d07e,34.0.220.134
ORD-0ed91e056d,CUST-ea53948c4a,ADI-CAP-BLK,accessory,5,25.0,2026-01-08 06:27:18.964861,0.0,DEV-34cc57ca70,PAY-c19d7959d3,ADDR-438c278afa,115.44.110.187
ORD-10d4ce4b73,CUST-e791ab261b,ADI-CAP-BLK,accessory,1,25.0,2026-01-08 07:03:55.704878,0.0,DEV-8c5af4fc45,PAY-6257d54b9a,ADDR-3be1a1211e,53.70.103.221
ORD-d43d58584b,CUST-ecfd19ebfa,ADI-TRACK-NVY-M,apparel,3,60.0,2026-01-08 07:04:08.781372,0.0,DEV-eee8ab1760,PAY-f8b7f6af11,ADDR-fa51497ca8,14.250.156.2
ORD-ad52fc80c0,CUST-561b823a42,ADI-CAP-BLK,accessory,1,25.0,2026-01-08 07:34:08.529910,0.0,DEV-6f1249a851,PAY-3ac93a0346,ADDR-89929c2727,105.79.121.222
ORD-4a2110378a,CUST-42c6913fbf,ADI-SAMBA-BLK-42,sneakers,2,90.0,2026-01-08 09:16:10.338566,0.0,DEV-b8485bfe83,PAY-72d022f9a9,ADDR-98f291ce89,159.231.139.180
ORD-c56fbc8c3f,CUST-e4f4138f2a,ADI-CAP-BLK,accessory,4,25.0,2026-01-08 09:52:54.912441,0.0,DEV-318b6040a4,PAY-1477da81bd,ADDR-d6c5cee8ce,156.16.60.250
ORD-1caff09e05,CUST-d66b10c793,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-08 11:40:13.711201,0.0,DEV-ed6579980f,PAY-3d9e19c462,ADDR-f037b359bb,102.163.149.189
ORD-a84375a517,CUST-c02e5d6f9f,ADI-CAP-BLK,accessory,1,25.0,2026-01-08 13:15:25.612373,0.0,DEV-a862dd6391,PAY-f28a47ad0b,ADDR-bcb6e08dfe,136.60.108.117
